"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","504","loginUserSuccess","","2026-09-23","passed","2026-09-23","","com.contactlist.test.LoginUserTest","com.contactlist.test.LoginUserTest","loginUserSuccess"
"","158","createUserWithoutPasswordShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutPasswordShowsError"
"","657","updateContactCityReturnsSuccess","","2026-09-23","passed","2026-09-23","","com.contactlist.test.UpdateContactTest","com.contactlist.test.UpdateContactTest","updateContactCityReturnsSuccess"
"","517","loginUserWithoutPasswordShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.LoginUserTest","com.contactlist.test.LoginUserTest","loginUserWithoutPasswordShowsError"
"","3698","getContactListSuccess","","2026-09-23","passed","2026-09-23","","com.contactlist.test.GetContactListTest","com.contactlist.test.GetContactListTest","getContactListSuccess"
"","516","addContactWithValidDataReturnsSuccess","","2026-09-23","passed","2026-09-23","","com.contactlist.test.AddContactTest","com.contactlist.test.AddContactTest","addContactWithValidDataReturnsSuccess"
"","144","createUserWithoutLastNameShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutLastNameShowsError"
"","155","createUserWithoutFirstNameShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutFirstNameShowsError"
"","579","createUserDuplicateDataShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserDuplicateDataShowsError"
"","497","addContactWithoutFirstNameShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.AddContactTest","com.contactlist.test.AddContactTest","addContactWithoutFirstNameShowsError"
"","172","createUserWithoutEmailShowsError","","2026-09-23","passed","2026-09-23","","com.contactlist.test.CreatingUserTest","com.contactlist.test.CreatingUserTest","createUserWithoutEmailShowsError"
